q	1	2	w	s	a	err	err
w	q	2	3	e	d	s	a
e	w	3	4	r	f	d	s
r	e	4	5	t	f	d	err
t	r	5	6	y	g	f	err
y	t	6	7	u	h	g	err
u	y	7	8	i	j	h	err
i	u	8	9	o	k	j	err
o	i	9	0	p	l	k	err
p	o	0	-	[	;	l	err
[	-	=	]	err	;	err	err
]	[	=	\	err	err	err	err
a	q	w	s	z	err	err	err
s	a	w	e	d	x	z	err
d	s	e	r	f	c	x	err
f	d	r	t	g	v	c	err
g	f	t	y	h	b	v	err
h	g	y	u	j	n	b	err
j	h	u	i	k	m	n	err
k	j	o	l	,	m	err	err
l	k	o	p	;	.	,	err
;	l	p	[	]	/	.	err	
z	a	s	x	err	err	err	err
x	z	s	d	c	err	err	err
c	x	d	f	v	err	err	err
v	c	f	g	b  	err	err	err
b	v	g	h	n	err	err	err
n	b	h	j	m	err	err	err
m	n	j	k	,	err	err	err
,	m	k	l	.	err	err	err
.	,	l	;	/	err	err	err
/	.	;		err	err	err	err
1	2	q	`	err	err	err	err
2	q	w	3	err	err	err	err
3	2	w	e	4	err	err	err
4	3	e	r	5	err	err	err
5	4	r	t	6	err	err	err
6	5	t	y	7	err	err	err
7	6	y	u	8	err	err	err
8	7	u	i	9	err	err	err
9	8	i	o	0	err	err	err
0	9	o	p	-	err	err	err
-	0	p	[	=	err	err	err
=	-	[	]	err	err	err	err
